temps,info
2021-07-05 16:08:40,GET /DossierNonVal 302 58 - 1.954 ms

2021-07-05 16:08:40,GET /profil 304 - - 7.389 ms

2021-07-05 16:08:40,GET /css/admin.css 404 152 - 2.100 ms

2021-07-05 16:08:41,GET /verifier 302 58 - 1.804 ms

2021-07-05 16:08:41,GET /profil 304 - - 4.903 ms

2021-07-05 16:08:41,GET /css/admin.css 404 152 - 1.978 ms

2021-07-05 16:08:42,GET /DossierNonVal 302 58 - 1.893 ms

2021-07-05 16:08:42,GET /profil 304 - - 4.381 ms

2021-07-05 16:08:42,GET /css/admin.css 404 152 - 1.950 ms

2021-07-05 16:08:43,GET /verifier 302 58 - 2.186 ms

2021-07-05 16:08:43,GET /profil 304 - - 8.545 ms

2021-07-05 16:08:44,GET /css/admin.css 404 152 - 2.031 ms

2021-07-05 16:08:51,GET /recours 304 - - 20.661 ms

2021-07-05 16:08:51,GET /main.js 404 146 - 2.114 ms

2021-07-05 16:09:35,GET /profil 302 64 - 51.212 ms

2021-07-05 16:09:35,GET /connecter 200 6458 - 66.234 ms

2021-07-05 16:09:35,GET /connecter 304 - - 10.654 ms

2021-07-05 16:09:43,POST /connecter 302 58 - 173.435 ms

2021-07-05 16:09:43,GET /profil 200 7000 - 9.523 ms

2021-07-05 16:09:43,GET /css/admin.css 404 152 - 9.790 ms

2021-07-05 16:09:45,GET /DossierNonVal 302 64 - 4.563 ms

2021-07-05 16:09:45,GET /connecter 200 6458 - 11.390 ms

2021-07-05 16:09:59,POST /connecter 302 58 - 90.095 ms

2021-07-05 16:09:59,GET /profil 200 7000 - 5.270 ms

2021-07-05 16:09:59,GET /css/admin.css 404 152 - 4.596 ms

2021-07-05 16:10:00,GET /DossierNonVal 200 21471 - 27.639 ms

2021-07-05 16:10:01,GET /main.js 404 146 - 2.489 ms

2021-07-05 16:10:07,GET /DossierNonVal 304 - - 11.534 ms

2021-07-05 16:10:07,GET /main.js 404 146 - 3.989 ms

2021-07-05 16:10:26,GET /recours 304 - - 6.274 ms

2021-07-05 16:10:26,GET /main.js 404 146 - 3.202 ms

2021-07-05 16:10:28,GET /DossierVal 200 17909 - 40.876 ms

2021-07-05 16:10:28,GET /main.js 404 146 - 2.668 ms

2021-07-05 16:10:28,GET /main.js 404 146 - 2.816 ms

2021-07-05 16:10:30,GET /recours 304 - - 7.061 ms

2021-07-05 16:10:30,GET /main.js 404 146 - 2.900 ms

2021-07-05 16:10:32,GET /DossierVal 304 - - 11.113 ms

2021-07-05 16:10:32,GET /main.js 404 146 - 2.857 ms

2021-07-05 16:10:32,GET /main.js 404 146 - 5.668 ms

2021-07-05 16:10:40,GET /recours 304 - - 8.064 ms

2021-07-05 16:10:40,GET /main.js 404 146 - 4.090 ms

2021-07-05 16:18:17,GET /recours 200 14135 - 8.539 ms

2021-07-05 16:18:18,GET /main.js 404 146 - 2.690 ms

2021-07-05 16:19:07,GET /recours 200 14068 - 7.088 ms

2021-07-05 16:19:07,GET /main.js 404 146 - 3.168 ms

2021-07-05 16:19:19,GET /recours 200 14070 - 8.286 ms

2021-07-05 16:19:19,GET /main.js 404 146 - 3.071 ms

2021-07-05 16:19:56,GET /recours 200 14217 - 26.970 ms

2021-07-05 16:19:56,GET /main.js 404 146 - 2.623 ms

2021-07-05 16:20:35,GET /recours 200 14234 - 5.503 ms

2021-07-05 16:20:35,GET /main.js 404 146 - 2.803 ms

2021-07-05 16:20:50,GET /recours 200 14163 - 8.404 ms

2021-07-05 16:20:50,GET /main.js 404 146 - 2.591 ms

2021-07-05 16:21:10,GET /recours 200 14234 - 8.488 ms

2021-07-05 16:21:10,GET /main.js 404 146 - 2.952 ms

2021-07-05 16:21:46,GET /recours 200 14131 - 14.302 ms

2021-07-05 16:21:46,GET /main.js 404 146 - 2.690 ms

2021-07-05 16:22:12,GET /recours 200 14131 - 9.429 ms

2021-07-05 16:22:12,GET /main.js 404 146 - 2.130 ms

